,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier
180,2023-10-12,Hong Kong,Bhutan,4.0,0.0,FIFA World Cup qualification,Hong Kong,Hong Kong,0,2023,0,1
181,2023-10-12,Afghanistan,Mongolia,1.0,0.0,FIFA World Cup qualification,Dushanbe,Tajikistan,1,2023,0,1
182,2023-10-12,Cambodia,Pakistan,0.0,0.0,FIFA World Cup qualification,Phnom Penh,Cambodia,0,2023,0,1
183,2023-10-12,Chile,Peru,2.0,0.0,FIFA World Cup qualification,Santiago,Chile,0,2023,0,1
184,2023-10-12,Brazil,Venezuela,1.0,1.0,FIFA World Cup qualification,Cuiabá,Brazil,0,2023,0,1
185,2023-10-12,Argentina,Paraguay,1.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,0,2023,0,1
186,2023-10-12,Bolivia,Ecuador,1.0,2.0,FIFA World Cup qualification,La Paz,Bolivia,0,2023,0,1
187,2023-10-12,Colombia,Uruguay,2.0,2.0,FIFA World Cup qualification,Barranquilla,Colombia,0,2023,0,1
188,2023-10-12,Taiwan,Timor-Leste,4.0,0.0,FIFA World Cup qualification,Kaohsiung,Taiwan,0,2023,0,1
189,2023-10-17,Laos,Nepal,0.0,1.0,FIFA World Cup qualification,Vientiane,Laos,0,2023,0,1
190,2023-10-17,Taiwan,Timor-Leste,3.0,0.0,FIFA World Cup qualification,Kaohsiung,Taiwan,0,2023,0,1
191,2023-10-17,Sri Lanka,Yemen,1.0,1.0,FIFA World Cup qualification,Colombo,Sri Lanka,0,2023,0,1
192,2023-10-17,Pakistan,Cambodia,1.0,0.0,FIFA World Cup qualification,Islamabad,Pakistan,0,2023,0,1
193,2023-10-17,Mongolia,Afghanistan,0.0,1.0,FIFA World Cup qualification,Ulaanbaatar,Mongolia,0,2023,0,1
194,2023-10-17,Macau,Myanmar,0.0,0.0,FIFA World Cup qualification,Taipa,Macau,0,2023,0,1
195,2023-10-17,Guam,Singapore,0.0,1.0,FIFA World Cup qualification,Dededo,Guam,0,2023,0,1
196,2023-10-17,Bhutan,Hong Kong,2.0,0.0,FIFA World Cup qualification,Thimphu,Bhutan,0,2023,0,1
197,2023-10-17,Bangladesh,Maldives,2.0,1.0,FIFA World Cup qualification,Dhaka,Bangladesh,0,2023,0,1
198,2023-10-17,Uruguay,Brazil,2.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,0,2023,0,1
199,2023-10-17,Peru,Argentina,0.0,2.0,FIFA World Cup qualification,Lima,Peru,0,2023,0,1
200,2023-10-17,Paraguay,Bolivia,1.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,0,2023,0,1
201,2023-10-17,Ecuador,Colombia,0.0,0.0,FIFA World Cup qualification,Quito,Ecuador,0,2023,0,1
202,2023-10-17,Venezuela,Chile,3.0,0.0,FIFA World Cup qualification,Maturín,Venezuela,0,2023,0,1
203,2023-10-17,Brunei,Indonesia,0.0,6.0,FIFA World Cup qualification,Bandar Seri Begawan,Brunei,0,2023,0,1
204,2023-11-15,DR Congo,Mauritania,2.0,0.0,FIFA World Cup qualification,Kinshasa,DR Congo,0,2023,0,1
205,2023-11-15,Ethiopia,Sierra Leone,0.0,0.0,FIFA World Cup qualification,El Jadida,Morocco,1,2023,0,1
206,2023-11-15,Rwanda,Zimbabwe,0.0,0.0,FIFA World Cup qualification,Butare,Rwanda,0,2023,0,1
207,2023-11-15,Equatorial Guinea,Namibia,0.0,3.0,FIFA World Cup qualification,Malabo,Equatorial Guinea,0,2023,0,1
208,2023-11-16,Lebanon,Palestine,0.0,0.0,FIFA World Cup qualification,Sharjah,United Arab Emirates,1,2023,0,1
209,2023-11-16,Yemen,Bahrain,0.0,2.0,FIFA World Cup qualification,Abha,Saudi Arabia,1,2023,0,1
210,2023-11-16,Tajikistan,Jordan,1.0,1.0,FIFA World Cup qualification,Dushanbe,Tajikistan,0,2023,0,1
211,2023-11-16,Australia,Bangladesh,7.0,0.0,FIFA World Cup qualification,Melbourne,Australia,0,2023,0,1
212,2023-11-16,Saudi Arabia,Pakistan,4.0,0.0,FIFA World Cup qualification,Al Hofuf,Saudi Arabia,0,2023,0,1
213,2023-11-16,Egypt,Djibouti,6.0,0.0,FIFA World Cup qualification,Cairo,Egypt,0,2023,0,1
214,2023-11-16,Botswana,Mozambique,2.0,3.0,FIFA World Cup qualification,Francistown,Botswana,0,2023,0,1
215,2023-11-16,Nigeria,Lesotho,1.0,1.0,FIFA World Cup qualification,Uyo,Nigeria,0,2023,0,1
216,2023-11-16,Cape Verde,Angola,0.0,0.0,FIFA World Cup qualification,Praia,Cape Verde,0,2023,0,1
217,2023-11-16,Burundi,Gambia,3.0,2.0,FIFA World Cup qualification,Dar es Salaam,Tanzania,1,2023,0,1
218,2023-11-16,Gabon,Kenya,2.0,1.0,FIFA World Cup qualification,Franceville,Gabon,0,2023,0,1
219,2023-11-16,Philippines,Vietnam,0.0,2.0,FIFA World Cup qualification,Manila,Philippines,0,2023,0,1
220,2023-11-16,Algeria,Somalia,3.0,1.0,FIFA World Cup qualification,Algiers,Algeria,0,2023,0,1
221,2023-11-16,Sudan,Togo,1.0,1.0,FIFA World Cup qualification,Benghazi,Libya,1,2023,0,1
222,2023-11-16,Iraq,Indonesia,5.0,1.0,FIFA World Cup qualification,Basra,Iraq,0,2023,0,1
223,2023-11-16,United Arab Emirates,Nepal,4.0,0.0,FIFA World Cup qualification,Dubai,United Arab Emirates,0,2023,0,1
224,2023-11-16,Iran,Hong Kong,4.0,0.0,FIFA World Cup qualification,Tehran,Iran,0,2023,0,1
225,2023-11-16,Turkmenistan,Uzbekistan,1.0,3.0,FIFA World Cup qualification,Ashgabat,Turkmenistan,0,2023,0,1
226,2023-11-16,Bolivia,Peru,2.0,0.0,FIFA World Cup qualification,La Paz,Bolivia,0,2023,0,1
227,2023-11-16,Venezuela,Ecuador,0.0,0.0,FIFA World Cup qualification,Maturín,Venezuela,0,2023,0,1
228,2023-11-16,Colombia,Brazil,2.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,0,2023,0,1
229,2023-11-16,Argentina,Uruguay,0.0,2.0,FIFA World Cup qualification,Buenos Aires,Argentina,0,2023,0,1
230,2023-11-16,Chile,Paraguay,0.0,0.0,FIFA World Cup qualification,Santiago,Chile,0,2023,0,1
231,2023-11-16,Kuwait,India,0.0,1.0,FIFA World Cup qualification,Kuwait City,Kuwait,0,2023,0,1
232,2023-11-16,Qatar,Afghanistan,8.0,1.0,FIFA World Cup qualification,Al Rayyan,Qatar,0,2023,0,1
